publication_id,campaign_id,influencer_id,post_date,content_type,reach,impressions,likes,comments,shares,revenue_generated,cost_paid,approved
142,55,44,2023-08-22,Carousel,140306,231544,15209,954,747,727,3914,1
143,55,20,2023-09-02,Carousel,3153426,5341207,293583,25814,5632,30687,37725,1
144,56,44,2023-12-29,Story,110061,215817,11930,1713,543,16272,3133,1
145,56,48,2024-01-14,Carousel,822814,1679226,81787,11222,1618,3399,36798,1
146,57,50,2023-12-06,Reel,92767,132455,1697,240,56,38345,1398,1
147,57,23,2023-12-12,Video,2378878,5899555,163428,16690,4337,18532,63667,1
148,58,8,2024-03-16,Reel,1172517,2835405,122645,14365,5081,21388,30769,0
149,58,12,2024-03-03,Video,1852123,3993515,39635,3858,1742,20209,71480,1
150,58,21,2024-03-13,Carousel,1516624,2544513,169558,15540,5290,25955,31940,1
151,58,13,2024-03-09,Story,2312043,5285299,107741,6383,4200,12983,45050,0
152,59,41,2024-01-21,Carousel,1471242,3110245,147712,15640,4309,22321,54382,1
153,60,8,2023-12-31,Photo,1721851,3694456,180105,22591,8388,46088,29720,1
154,60,42,2024-01-06,Carousel,1159368,1797323,104574,8188,2996,43014,7896,1
155,61,17,2024-04-16,Story,748907,927185,78710,11659,2265,21486,11161,1
156,61,36,2024-04-10,Carousel,1385458,3200018,79802,9905,849,36761,42463,0
157,61,50,2024-04-09,Reel,94546,134446,1730,185,34,36586,1429,1
158,62,40,2023-05-13,Story,2539659,4432112,72126,8891,1737,9672,58352,0
159,62,16,2023-05-03,Carousel,2101593,5225512,115587,16843,3578,5371,57016,1
160,62,4,2023-04-28,Video,738664,882818,63008,4102,1181,30385,10540,0
161,63,10,2023-08-29,Carousel,1181739,1980445,57432,2967,2233,35610,39058,1
162,63,12,2023-09-14,Story,3040585,6776353,65068,9173,929,6812,63146,1
163,63,48,2023-09-04,Reel,1726786,3870245,171642,13170,4441,24948,45331,0
164,63,21,2023-09-16,Video,796730,1211001,89074,11829,1177,43091,39299,1
165,64,15,2023-09-10,Story,1115240,1314378,130148,6630,2193,33258,39863,1
166,64,37,2023-09-16,Photo,553604,1302468,36980,5248,709,45869,13137,0
167,64,29,2023-09-06,Photo,1517189,3122678,24730,1929,784,43629,28194,1
168,64,18,2023-08-29,Carousel,3909952,5090242,432440,57111,18524,5542,27385,1
169,65,23,2023-07-05,Video,2467787,5445658,169536,20163,2227,49354,91882,1
170,65,32,2023-06-21,Photo,2562896,4041250,30754,3902,1482,26498,74499,1
171,65,22,2023-06-18,Story,2507579,4480654,272072,23284,12963,28801,26967,0
172,65,41,2023-06-20,Reel,2719800,6030550,273067,33125,3626,10607,56196,1
173,66,39,2023-02-25,Photo,586919,649879,20776,1679,506,18179,8816,1
174,66,15,2023-02-20,Carousel,1183655,2221289,138132,12542,1526,23694,35784,1
175,66,41,2023-02-27,Story,1095346,1799565,109972,6430,5063,16408,60729,1
176,66,30,2023-02-27,Reel,724283,1102057,75615,7509,947,28986,8259,1
